mechanismKey,mechanism,baseScenarioKey,variantScenarioKey,caseKey,caseName,caseWeight,deltaDirectional,deltaLegalStability,deltaPrecedentStability,deltaStatutoryStability,deltaInterbranchCompliance,deltaRightsProtection,deltaPartisanAlignment,deltaShadowDocketAbuse,deltaLegitimacy,deltaReversalRate,deltaConstitutionalConflict,deltaDemocraticResponsiveness,deltaAdministrativeCost,deltaLowerCourtCompliance,deltaLowerCourtResistanceRisk,deltaEnforcementCapacity,deltaGovernmentNoncomplianceRate,deltaEmergencyOpportunism,deltaEmergencyDownstreamEffect,deltaPrecedentDurability,deltaJusticeReplacementRate,deltaOverrideAttemptRate,deltaOverrideRate
term-regularization,Term regularization,current-us-like,term-limited-balanced,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,0.014,0.021,0.031,0.005,0.027,-0.035,0.006,-0.270,0.188,0.056,-0.055,0.025,0.052,0.030,-0.014,0.013,-0.044,-0.166,-0.103,0.080,0.051,0.000,0.000
term-regularization,Term regularization,current-us-like,term-limited-balanced,extreme-rights-risk,Extreme Rights Risk,1.000,0.006,-0.008,-0.033,-0.011,0.020,-0.022,0.005,-0.240,0.156,0.047,-0.045,0.036,0.043,0.015,-0.009,0.010,-0.016,-0.161,-0.096,0.013,0.033,0.000,0.000
term-regularization,Term regularization,current-us-like,term-limited-balanced,weak-mandate-legislation,Weak-Mandate Legislation,1.000,0.014,-0.001,-0.021,-0.007,0.025,-0.011,-0.003,-0.206,0.138,0.034,-0.046,0.032,0.039,0.022,-0.012,0.009,-0.042,-0.157,-0.077,0.019,0.040,0.000,0.000
term-regularization,Term regularization,current-us-like,term-limited-balanced,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,0.015,0.007,0.009,-0.004,0.016,0.003,-0.003,-0.147,0.109,0.010,-0.027,0.013,0.037,0.018,-0.009,0.008,-0.026,-0.145,-0.046,0.037,0.030,0.000,0.000
term-regularization,Term regularization,current-us-like,term-limited-balanced,emergency-application-flood,Emergency Application Flood,1.000,0.016,0.027,0.039,0.008,0.034,-0.049,0.001,-0.303,0.208,0.076,-0.059,0.026,0.055,0.036,-0.018,0.013,-0.070,-0.172,-0.126,0.094,0.066,0.000,0.000
term-regularization,Term regularization,current-us-like,term-limited-balanced,override-evasion-loop,Override Evasion Loop,1.000,0.011,-0.005,-0.034,-0.009,0.028,-0.022,-0.003,-0.242,0.156,0.063,-0.044,0.017,0.040,0.026,-0.014,0.010,-0.054,-0.161,-0.095,0.014,0.036,0.000,0.000
emergency-restraint,Emergency restraint,current-us-like,emergency-restraint-court,baseline,Baseline,1.000,0.022,0.012,0.014,-0.003,0.024,0.004,-0.009,-0.224,0.156,0.012,-0.041,0.012,0.070,0.031,-0.013,0.011,-0.043,-0.211,-0.067,0.054,0.047,0.000,0.000
emergency-restraint,Emergency restraint,current-us-like,emergency-restraint-court,extreme-appointment-capture,Extreme Appointment Capture,1.000,0.018,0.006,0.009,-0.007,0.017,0.008,-0.015,-0.225,0.175,0.017,-0.032,0.021,0.075,0.025,-0.011,0.012,-0.020,-0.211,-0.067,0.049,0.044,0.000,0.000
emergency-restraint,Emergency restraint,current-us-like,emergency-restraint-court,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,0.021,-0.008,-0.051,-0.015,0.043,-0.019,-0.010,-0.422,0.309,0.124,-0.076,0.045,0.090,0.052,-0.024,0.023,-0.063,-0.243,-0.162,0.027,0.043,0.000,0.000
emergency-restraint,Emergency restraint,current-us-like,emergency-restraint-court,extreme-rights-risk,Extreme Rights Risk,1.000,0.011,-0.035,-0.088,-0.037,0.020,0.009,-0.019,-0.328,0.242,0.116,-0.039,0.065,0.083,0.021,-0.015,0.017,-0.024,-0.229,-0.131,-0.026,0.044,0.000,0.000
emergency-restraint,Emergency restraint,current-us-like,emergency-restraint-court,weak-mandate-legislation,Weak-Mandate Legislation,1.000,0.012,-0.021,-0.061,-0.024,0.023,-0.004,-0.005,-0.278,0.201,0.061,-0.044,0.054,0.077,0.026,-0.015,0.015,-0.038,-0.221,-0.100,-0.007,0.039,0.000,0.000
emergency-restraint,Emergency restraint,current-us-like,emergency-restraint-court,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,0.018,0.007,0.011,-0.005,0.016,0.007,-0.003,-0.210,0.160,0.009,-0.032,0.014,0.069,0.025,-0.010,0.012,-0.015,-0.209,-0.061,0.049,0.022,0.000,0.000
emergency-restraint,Emergency restraint,current-us-like,emergency-restraint-court,emergency-application-flood,Emergency Application Flood,1.000,0.007,-0.043,-0.126,-0.033,0.030,-0.023,-0.008,-0.453,0.347,0.199,-0.054,0.067,0.100,0.044,-0.025,0.026,-0.050,-0.248,-0.178,-0.036,0.056,0.000,0.000
emergency-restraint,Emergency restraint,current-us-like,emergency-restraint-court,override-evasion-loop,Override Evasion Loop,1.000,0.011,-0.033,-0.089,-0.031,0.022,0.005,-0.005,-0.327,0.235,0.090,-0.037,0.034,0.079,0.027,-0.015,0.017,-0.028,-0.229,-0.124,-0.024,0.035,0.000,0.000
written-emergency-reasoning,Mandatory written emergency reasoning,current-us-like,mandatory-written-emergency-reasoning,baseline,Baseline,1.000,0.011,0.009,0.014,-0.003,0.016,-0.001,-0.000,-0.184,0.118,0.010,-0.027,0.012,0.071,0.021,-0.009,0.009,-0.026,-0.173,-0.042,0.045,0.027,0.000,0.000
written-emergency-reasoning,Mandatory written emergency reasoning,current-us-like,mandatory-written-emergency-reasoning,extreme-appointment-capture,Extreme Appointment Capture,1.000,0.012,0.011,0.019,-0.001,0.015,-0.004,-0.000,-0.195,0.121,0.012,-0.031,0.009,0.069,0.019,-0.008,0.008,-0.014,-0.175,-0.047,0.050,0.044,0.000,0.000
written-emergency-reasoning,Mandatory written emergency reasoning,current-us-like,mandatory-written-emergency-reasoning,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,0.013,0.037,0.059,0.013,0.036,-0.047,-0.003,-0.324,0.187,0.045,-0.065,0.014,0.090,0.035,-0.015,0.011,-0.059,-0.193,-0.085,0.110,0.043,0.000,0.000
written-emergency-reasoning,Mandatory written emergency reasoning,current-us-like,mandatory-written-emergency-reasoning,extreme-rights-risk,Extreme Rights Risk,1.000,0.003,0.006,-0.007,-0.002,0.027,-0.037,0.002,-0.270,0.151,0.061,-0.048,0.030,0.082,0.021,-0.012,0.008,-0.054,-0.187,-0.070,0.036,0.044,0.000,0.000
written-emergency-reasoning,Mandatory written emergency reasoning,current-us-like,mandatory-written-emergency-reasoning,weak-mandate-legislation,Weak-Mandate Legislation,1.000,0.009,0.006,0.003,-0.006,0.021,-0.015,0.006,-0.235,0.139,0.045,-0.041,0.035,0.079,0.019,-0.011,0.009,-0.043,-0.182,-0.061,0.042,0.052,0.000,0.000
written-emergency-reasoning,Mandatory written emergency reasoning,current-us-like,mandatory-written-emergency-reasoning,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,0.014,0.010,0.018,-0.004,0.018,0.001,0.001,-0.179,0.119,0.011,-0.028,0.012,0.069,0.023,-0.010,0.009,-0.033,-0.170,-0.043,0.048,0.039,0.000,0.000
written-emergency-reasoning,Mandatory written emergency reasoning,current-us-like,mandatory-written-emergency-reasoning,emergency-application-flood,Emergency Application Flood,1.000,0.012,0.051,0.102,0.022,0.029,-0.063,0.020,-0.342,0.194,0.048,-0.059,0.013,0.097,0.030,-0.013,0.010,-0.050,-0.198,-0.099,0.154,0.056,0.000,0.000
written-emergency-reasoning,Mandatory written emergency reasoning,current-us-like,mandatory-written-emergency-reasoning,override-evasion-loop,Override Evasion Loop,1.000,0.005,0.008,0.008,-0.005,0.020,-0.028,0.003,-0.261,0.154,0.054,-0.036,0.016,0.082,0.019,-0.010,0.009,-0.033,-0.185,-0.067,0.049,0.055,0.000,0.000
automatic-merits-follow-up,Automatic merits follow-up,current-us-like,automatic-merits-follow-up,baseline,Baseline,1.000,0.014,0.006,0.004,-0.007,0.020,0.000,-0.000,-0.211,0.143,0.012,-0.032,0.013,0.085,0.029,-0.013,0.011,-0.036,-0.190,-0.055,0.041,0.035,0.000,0.000
automatic-merits-follow-up,Automatic merits follow-up,current-us-like,automatic-merits-follow-up,extreme-appointment-capture,Extreme Appointment Capture,1.000,0.015,0.003,-0.004,-0.008,0.021,0.008,0.005,-0.221,0.146,0.015,-0.036,0.016,0.084,0.027,-0.012,0.011,-0.028,-0.192,-0.061,0.035,0.040,0.000,0.000
automatic-merits-follow-up,Automatic merits follow-up,current-us-like,automatic-merits-follow-up,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,0.011,-0.027,-0.091,-0.027,0.037,-0.014,0.004,-0.396,0.286,0.132,-0.060,0.053,0.112,0.048,-0.025,0.023,-0.072,-0.221,-0.141,-0.016,0.044,0.000,0.000
automatic-merits-follow-up,Automatic merits follow-up,current-us-like,automatic-merits-follow-up,extreme-rights-risk,Extreme Rights Risk,1.000,0.009,-0.032,-0.086,-0.035,0.025,0.005,-0.000,-0.326,0.220,0.103,-0.047,0.063,0.099,0.024,-0.016,0.016,-0.034,-0.211,-0.150,-0.022,0.042,0.000,0.000
automatic-merits-follow-up,Automatic merits follow-up,current-us-like,automatic-merits-follow-up,weak-mandate-legislation,Weak-Mandate Legislation,1.000,0.003,-0.033,-0.087,-0.029,0.017,-0.003,-0.003,-0.272,0.188,0.078,-0.039,0.059,0.093,0.019,-0.012,0.014,-0.010,-0.200,-0.110,-0.031,0.039,0.000,0.000
automatic-merits-follow-up,Automatic merits follow-up,current-us-like,automatic-merits-follow-up,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,0.016,0.006,0.009,-0.008,0.017,0.007,0.003,-0.213,0.148,0.015,-0.029,0.015,0.086,0.026,-0.012,0.012,-0.025,-0.189,-0.054,0.046,0.034,0.000,0.000
automatic-merits-follow-up,Automatic merits follow-up,current-us-like,automatic-merits-follow-up,emergency-application-flood,Emergency Application Flood,1.000,0.005,-0.042,-0.133,-0.033,0.040,-0.029,0.001,-0.427,0.303,0.199,-0.065,0.063,0.110,0.047,-0.026,0.024,-0.069,-0.228,-0.178,-0.046,0.045,0.000,0.000
automatic-merits-follow-up,Automatic merits follow-up,current-us-like,automatic-merits-follow-up,override-evasion-loop,Override Evasion Loop,1.000,0.003,-0.043,-0.112,-0.037,0.021,-0.000,0.003,-0.330,0.229,0.116,-0.034,0.035,0.100,0.026,-0.017,0.018,-0.034,-0.211,-0.139,-0.044,0.036,0.000,0.000
invalidation-threshold,Invalidation threshold,current-us-like,supermajority-review,baseline,Baseline,1.000,0.016,0.016,0.036,-0.002,0.015,-0.010,0.001,-0.167,0.100,-0.001,-0.031,0.006,0.031,0.018,-0.007,0.007,-0.017,-0.161,-0.042,0.064,0.003,0.000,0.000
invalidation-threshold,Invalidation threshold,current-us-like,supermajority-review,extreme-appointment-capture,Extreme Appointment Capture,1.000,0.019,0.017,0.028,-0.002,0.023,-0.006,-0.000,-0.165,0.097,0.002,-0.037,0.002,0.029,0.024,-0.009,0.006,-0.044,-0.160,-0.044,0.056,-0.001,0.000,0.000
invalidation-threshold,Invalidation threshold,current-us-like,supermajority-review,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,0.021,0.048,0.103,0.014,0.028,-0.042,0.006,-0.292,0.173,0.011,-0.058,0.009,0.050,0.030,-0.012,0.009,-0.042,-0.182,-0.079,0.148,0.007,0.000,0.000
invalidation-threshold,Invalidation threshold,current-us-like,supermajority-review,extreme-rights-risk,Extreme Rights Risk,1.000,0.007,0.013,0.021,-0.001,0.021,-0.041,0.006,-0.235,0.127,0.049,-0.045,0.023,0.038,0.014,-0.008,0.006,-0.029,-0.174,-0.065,0.057,-0.008,0.000,0.000
invalidation-threshold,Invalidation threshold,current-us-like,supermajority-review,weak-mandate-legislation,Weak-Mandate Legislation,1.000,0.022,0.022,0.042,-0.000,0.023,-0.009,0.004,-0.205,0.116,0.018,-0.045,0.016,0.033,0.022,-0.010,0.006,-0.041,-0.168,-0.057,0.076,0.001,0.000,0.000
invalidation-threshold,Invalidation threshold,current-us-like,supermajority-review,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,0.016,0.014,0.031,-0.004,0.014,-0.007,0.001,-0.170,0.108,0.003,-0.029,0.009,0.031,0.019,-0.008,0.007,-0.019,-0.161,-0.043,0.059,-0.003,0.000,0.000
invalidation-threshold,Invalidation threshold,current-us-like,supermajority-review,emergency-application-flood,Emergency Application Flood,1.000,0.024,0.065,0.141,0.023,0.029,-0.054,-0.004,-0.307,0.177,0.010,-0.059,0.007,0.050,0.031,-0.012,0.008,-0.055,-0.185,-0.091,0.186,0.010,0.000,0.000
invalidation-threshold,Invalidation threshold,current-us-like,supermajority-review,override-evasion-loop,Override Evasion Loop,1.000,0.017,0.032,0.071,0.004,0.020,-0.034,0.003,-0.242,0.136,0.016,-0.043,0.010,0.040,0.019,-0.008,0.006,-0.031,-0.174,-0.067,0.108,0.002,0.000,0.000
recusal-emergency-process,Recusal and emergency process,current-us-like,recusal-and-emergency-reform,baseline,Baseline,1.000,0.012,0.010,0.013,-0.001,0.018,-0.004,0.004,-0.158,0.112,0.010,-0.033,0.009,0.062,0.021,-0.009,0.008,-0.030,-0.145,-0.050,0.042,0.031,0.000,0.000
recusal-emergency-process,Recusal and emergency process,current-us-like,recusal-and-emergency-reform,extreme-appointment-capture,Extreme Appointment Capture,1.000,0.011,0.011,0.015,0.000,0.017,-0.002,0.001,-0.155,0.115,0.012,-0.033,0.008,0.060,0.019,-0.008,0.007,-0.024,-0.145,-0.053,0.044,0.039,0.000,0.000
recusal-emergency-process,Recusal and emergency process,current-us-like,recusal-and-emergency-reform,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,0.009,0.016,0.016,0.002,0.030,-0.037,0.003,-0.279,0.209,0.063,-0.057,0.029,0.085,0.033,-0.017,0.014,-0.057,-0.169,-0.106,0.067,0.046,0.000,0.000
recusal-emergency-process,Recusal and emergency process,current-us-like,recusal-and-emergency-reform,extreme-rights-risk,Extreme Rights Risk,1.000,0.004,-0.012,-0.041,-0.015,0.021,-0.015,0.008,-0.244,0.171,0.067,-0.044,0.047,0.073,0.019,-0.012,0.011,-0.033,-0.162,-0.098,0.006,0.048,0.000,0.000
recusal-emergency-process,Recusal and emergency process,current-us-like,recusal-and-emergency-reform,weak-mandate-legislation,Weak-Mandate Legislation,1.000,0.006,0.000,-0.005,-0.009,0.015,-0.015,0.001,-0.200,0.143,0.043,-0.037,0.036,0.070,0.014,-0.008,0.009,-0.015,-0.153,-0.076,0.034,0.050,0.000,0.000
recusal-emergency-process,Recusal and emergency process,current-us-like,recusal-and-emergency-reform,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,0.012,0.009,0.014,-0.003,0.016,0.002,0.003,-0.155,0.122,0.008,-0.030,0.011,0.064,0.021,-0.009,0.009,-0.020,-0.145,-0.048,0.042,0.028,0.000,0.000
recusal-emergency-process,Recusal and emergency process,current-us-like,recusal-and-emergency-reform,emergency-application-flood,Emergency Application Flood,1.000,0.007,0.018,0.025,0.003,0.026,-0.040,0.003,-0.303,0.228,0.090,-0.049,0.037,0.091,0.031,-0.017,0.014,-0.058,-0.172,-0.123,0.081,0.056,0.000,0.000
recusal-emergency-process,Recusal and emergency process,current-us-like,recusal-and-emergency-reform,override-evasion-loop,Override Evasion Loop,1.000,0.003,-0.006,-0.025,-0.010,0.018,-0.018,0.008,-0.234,0.166,0.060,-0.034,0.024,0.074,0.019,-0.012,0.010,-0.036,-0.159,-0.090,0.021,0.034,0.000,0.000
strong-recusal-enforcement,Strong recusal enforcement,current-us-like,strong-recusal-enforcement,baseline,Baseline,1.000,0.009,0.004,-0.000,-0.005,0.018,0.003,-0.015,-0.151,0.126,0.018,-0.028,0.013,0.077,0.021,-0.010,0.008,-0.037,-0.145,-0.049,0.029,0.041,0.000,0.000
strong-recusal-enforcement,Strong recusal enforcement,current-us-like,strong-recusal-enforcement,extreme-appointment-capture,Extreme Appointment Capture,1.000,0.007,0.002,0.002,-0.005,0.011,0.005,-0.006,-0.156,0.136,0.016,-0.022,0.016,0.078,0.015,-0.007,0.008,-0.009,-0.144,-0.049,0.032,0.026,0.000,0.000
strong-recusal-enforcement,Strong recusal enforcement,current-us-like,strong-recusal-enforcement,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,0.011,0.027,0.043,0.008,0.031,-0.038,-0.031,-0.273,0.217,0.054,-0.059,0.021,0.098,0.032,-0.015,0.012,-0.052,-0.168,-0.105,0.092,0.043,0.000,0.000
strong-recusal-enforcement,Strong recusal enforcement,current-us-like,strong-recusal-enforcement,extreme-rights-risk,Extreme Rights Risk,1.000,0.002,-0.007,-0.027,-0.013,0.021,-0.024,-0.021,-0.243,0.188,0.070,-0.043,0.044,0.090,0.018,-0.012,0.011,-0.037,-0.162,-0.098,0.019,0.066,0.000,0.000
strong-recusal-enforcement,Strong recusal enforcement,current-us-like,strong-recusal-enforcement,weak-mandate-legislation,Weak-Mandate Legislation,1.000,0.004,-0.005,-0.021,-0.010,0.017,-0.012,-0.004,-0.193,0.148,0.045,-0.036,0.035,0.083,0.015,-0.009,0.009,-0.028,-0.152,-0.072,0.018,0.028,0.000,0.000
strong-recusal-enforcement,Strong recusal enforcement,current-us-like,strong-recusal-enforcement,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,0.012,0.010,0.016,-0.003,0.017,0.003,-0.013,-0.151,0.137,0.005,-0.026,0.015,0.077,0.023,-0.010,0.009,-0.031,-0.143,-0.047,0.043,0.040,0.000,0.000
strong-recusal-enforcement,Strong recusal enforcement,current-us-like,strong-recusal-enforcement,emergency-application-flood,Emergency Application Flood,1.000,0.004,0.016,0.023,0.004,0.023,-0.042,-0.025,-0.286,0.235,0.092,-0.047,0.034,0.103,0.028,-0.016,0.013,-0.051,-0.169,-0.114,0.076,0.051,0.000,0.000
strong-recusal-enforcement,Strong recusal enforcement,current-us-like,strong-recusal-enforcement,override-evasion-loop,Override Evasion Loop,1.000,0.005,0.000,-0.009,-0.008,0.018,-0.015,-0.022,-0.223,0.178,0.053,-0.033,0.021,0.088,0.018,-0.011,0.009,-0.035,-0.157,-0.088,0.034,0.036,0.000,0.000
panel-routing,Panel routing,term-limited-balanced,panel-en-banc,baseline,Baseline,1.000,-0.005,0.002,0.004,0.002,0.001,-0.003,0.008,0.001,0.046,-0.002,-0.000,0.001,0.037,0.002,-0.001,0.000,-0.002,0.001,0.001,0.007,0.183,0.000,0.000
panel-routing,Panel routing,term-limited-balanced,panel-en-banc,extreme-appointment-capture,Extreme Appointment Capture,1.000,-0.004,0.001,0.007,0.000,-0.002,-0.000,0.003,-0.002,0.051,-0.002,0.002,0.002,0.037,0.000,0.000,0.001,0.009,0.000,0.001,0.011,0.183,0.000,0.000
panel-routing,Panel routing,term-limited-balanced,panel-en-banc,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,-0.006,-0.001,0.000,-0.000,-0.002,0.006,0.009,0.003,0.054,-0.000,0.003,0.004,0.042,0.000,-0.000,0.001,0.002,0.001,0.007,0.003,0.249,0.000,0.000
panel-routing,Panel routing,term-limited-balanced,panel-en-banc,extreme-rights-risk,Extreme Rights Risk,1.000,-0.009,-0.007,-0.011,-0.003,-0.008,0.005,0.003,0.004,0.049,0.011,0.007,0.003,0.042,-0.006,0.002,0.000,0.023,0.002,0.003,-0.010,0.218,0.000,0.000
panel-routing,Panel routing,term-limited-balanced,panel-en-banc,weak-mandate-legislation,Weak-Mandate Legislation,1.000,-0.002,0.011,0.024,0.006,0.004,-0.006,0.003,-0.002,0.041,-0.003,-0.008,-0.006,0.034,0.002,0.000,-0.001,-0.005,-0.001,-0.006,0.026,0.201,0.000,0.000
panel-routing,Panel routing,term-limited-balanced,panel-en-banc,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,-0.003,0.002,0.002,0.001,0.002,-0.002,0.005,-0.003,0.046,-0.002,-0.003,-0.000,0.034,0.003,-0.001,0.001,-0.007,0.001,0.001,0.006,0.161,0.000,0.000
panel-routing,Panel routing,term-limited-balanced,panel-en-banc,emergency-application-flood,Emergency Application Flood,1.000,-0.009,-0.005,-0.006,-0.001,-0.007,0.000,-0.001,0.001,0.059,0.007,0.005,0.001,0.043,-0.005,0.002,0.001,0.018,0.000,0.004,-0.003,0.226,0.000,0.000
panel-routing,Panel routing,term-limited-balanced,panel-en-banc,override-evasion-loop,Override Evasion Loop,1.000,-0.003,0.004,0.001,0.002,0.007,0.002,0.007,-0.004,0.046,0.001,-0.008,-0.001,0.036,0.006,-0.002,0.000,-0.016,-0.001,-0.001,0.004,0.219,0.000,0.000
randomized-merits-panels,Randomized merits panels,term-limited-balanced,randomized-merits-panels,baseline,Baseline,1.000,-0.004,0.003,0.004,0.001,0.004,0.001,0.002,0.005,0.042,0.002,-0.003,-0.002,0.043,0.002,-0.001,-0.000,-0.012,-0.000,0.003,0.006,0.023,0.000,0.000
randomized-merits-panels,Randomized merits panels,term-limited-balanced,randomized-merits-panels,extreme-appointment-capture,Extreme Appointment Capture,1.000,-0.004,0.002,0.005,0.001,0.002,0.001,0.007,-0.002,0.049,-0.005,-0.000,0.002,0.044,0.003,-0.002,0.001,-0.009,0.000,-0.000,0.008,0.028,0.000,0.000
randomized-merits-panels,Randomized merits panels,term-limited-balanced,randomized-merits-panels,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,-0.006,0.000,-0.002,-0.002,0.003,-0.003,-0.005,-0.003,0.053,0.005,-0.004,-0.000,0.045,0.002,-0.001,0.000,-0.008,-0.000,0.000,0.002,0.049,0.000,0.000
randomized-merits-panels,Randomized merits panels,term-limited-balanced,randomized-merits-panels,extreme-rights-risk,Extreme Rights Risk,1.000,-0.005,0.007,0.018,0.003,-0.000,-0.002,-0.010,0.003,0.048,-0.010,0.001,-0.001,0.047,-0.000,-0.000,-0.001,-0.008,-0.000,0.001,0.017,0.039,0.000,0.000
randomized-merits-panels,Randomized merits panels,term-limited-balanced,randomized-merits-panels,weak-mandate-legislation,Weak-Mandate Legislation,1.000,-0.010,-0.003,-0.002,-0.000,-0.008,0.000,-0.001,0.001,0.055,0.001,0.006,0.001,0.046,-0.005,0.003,0.001,0.027,0.000,0.000,0.001,0.035,0.000,0.000
randomized-merits-panels,Randomized merits panels,term-limited-balanced,randomized-merits-panels,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,-0.005,0.003,0.012,0.001,-0.001,0.006,0.006,0.004,0.052,-0.002,0.004,0.006,0.047,-0.001,-0.000,0.001,0.003,0.000,0.002,0.014,0.030,0.000,0.000
randomized-merits-panels,Randomized merits panels,term-limited-balanced,randomized-merits-panels,emergency-application-flood,Emergency Application Flood,1.000,-0.001,0.009,0.019,0.001,0.005,0.002,-0.010,-0.001,0.056,-0.008,-0.005,0.001,0.047,0.006,-0.002,0.000,-0.019,-0.001,0.002,0.022,0.050,0.000,0.000
randomized-merits-panels,Randomized merits panels,term-limited-balanced,randomized-merits-panels,override-evasion-loop,Override Evasion Loop,1.000,-0.006,-0.001,-0.003,0.000,0.000,-0.002,0.003,-0.004,0.051,0.004,-0.004,0.002,0.044,0.001,0.000,0.001,0.005,0.001,-0.002,-0.001,0.044,0.000,0.000
cross-checking-court,Cross-checking court,nonpartisan-commission,cross-checking-courts,baseline,Baseline,1.000,-0.016,0.002,0.017,0.003,-0.013,-0.019,-0.008,-0.009,-0.002,-0.014,0.019,-0.013,0.077,0.004,-0.019,0.018,0.002,-0.016,0.009,0.015,0.034,0.000,0.000
cross-checking-court,Cross-checking court,nonpartisan-commission,cross-checking-courts,extreme-appointment-capture,Extreme Appointment Capture,1.000,-0.015,0.006,0.025,0.005,-0.012,-0.016,-0.009,-0.009,0.010,-0.014,0.020,-0.012,0.080,0.006,-0.021,0.019,-0.006,-0.016,0.008,0.023,0.018,0.000,0.000
